% Occupied,% Reported,% Extremely Low Income,% Female Head,% in poverty (Census tract),% minority (Census tract),% Very Low Income,% with disability among Head Spouse Co-head aged 61 years or less,% with disability among Head Spouse Co-head aged 62 years or older,0-1 BedroomUnits,Active Subsidies,City,CountyID,Earliest Start Date,FHA Loan Sub Program Units,FHA Loan Units,FairMarketRent 2BR,GEOID (census dataset 201910121110.csv),GEOID (hud dataset 201910121111.csv),GEOID (nhpd dataset 201910121111.csv),Geoid,HOME Grants,HUD Property ID,Household income per year,Latitude,Longitude,Low Income Housing Tax Credit sub-program,Low Income Housing Tax Credit,Median Income HH,NHPD Property ID,Number of Records,Occupancy Rate,Owner Type,Percent of ELI Households,Property Address,Property Name,Property Status,Rent Burdened H Hs,Rural Rental Housing,Section 8 Housing Units,StateID,State,Subsidized units available,Supportive Housing Elderly,Target Tenant Type,Three Plus Bedroom Units,Total Units,Total Low Income H Hs,TractID,TractName,Two Bedroom Units,Zip
82,97,63,90,35,98,91,31,19,48,1,Atlanta,121,6/22/19,,,990,13121004000,13121004000,13121004000,13121004000,,800225978,17746,33.7499716,-84.4362262,,,28191,1038572,1,95,Non-Profit,80,230 Westview Pl SW,BEREAN VILLAGE & SENIOR SERVICE CENTER,Active,622,,48,13,GA,234,,Elderly,0,48,433,4000,Census Tract 40,0,30314-2600
79,93,62,88,27,96,91,23,53,0,0,Atlanta,121,1/1/91,,,1010,13121004100,13121004100,13121004100,13121004100,,,18084,33.740885,-84.4280836,,0,38519,1038160,1,,,,416 Atwood St SW,ATWOOD STREET/416-418,Inconclusive,376,,,13,GA,135,,,0,2,321,4100,Census Tract 41,0,30310-1644
79,93,62,88,27,96,91,23,53,92,1,Atlanta,121,1/1/05,,,1010,13121004100,13121004100,13121004100,13121004100,,,18084,33.740885,-84.4280836,,90,38519,1038585,1,,For Profit,,372 Legacy Dr SW,VERANDA AT COLLEGETOWN,Active,376,,,13,GA,135,,,,100,321,4100,Census Tract 41,8,30310-5454
79,93,62,88,27,96,91,23,53,,1,Atlanta,121,1/1/91,,,1010,13121004100,13121004100,13121004100,13121004100,,,18084,33.740885,-84.4280836,,2,38519,1038168,1,,For Profit,,494 Atwood St SW,494-496 ATWOOD ST SW,Active,376,,,13,GA,135,,,,2,321,4100,Census Tract 41,,30310-1602
79,93,62,88,27,96,91,23,53,,1,Atlanta,121,1/1/91,,,1010,13121004100,13121004100,13121004100,13121004100,,,18084,33.740885,-84.4280836,,2,38519,1038164,1,,For Profit,,426 Atwood St SW,426-428 ATWOOD ST SW,Active,376,,,13,GA,135,,,,2,321,4100,Census Tract 41,,30310-1644
79,93,62,88,27,96,91,23,53,0,1,Atlanta,121,1/1/91,,,1010,13121004100,13121004100,13121004100,13121004100,,,18084,33.740885,-84.4280836,0,2,38519,1038166,1,,For Profit,,432 Atwood St SW,432-434 ATWOOD ST SW,Active,376,,,13,GA,135,,,0,2,321,4100,Census Tract 41,0,30310-1644
79,93,62,88,27,96,91,23,53,,1,Atlanta,121,1/1/91,,,1010,13121004100,13121004100,13121004100,13121004100,,,18084,33.740885,-84.4280836,,2,38519,1038158,1,,For Profit,,1241 Greenwich St SW,GREENWICH STREET APARTMENTS,Active,376,,,13,GA,135,,,,2,321,4100,Census Tract 41,,30310-1609
87,97,78,51,43,96,96,44,36,,1,Atlanta,121,1/1/09,,,1010,13121004200,13121004200,13121004200,13121004200,,,13446,33.7390423,-84.4181855,,,18569,1038609,1,100,Multiple,100,899 Park St SW,GARDENS AT COLLEGETOWN/JOHNCHILESHARRVI,Active,1379,,,13,GA,731,,,0,26,977,4200,Census Tract 42,0,30310-1460
87,97,78,51,43,96,96,44,36,,1,Atlanta,121,7/31/05,,,1010,13121004200,13121004200,13121004200,13121004200,,,13446,33.7390423,-84.4181855,,,18569,1038280,1,96,Public Entity,53,373 Legacy Dr SW,ASHLEY COLLEGETOWN,Active,1379,,,13,GA,731,,,,78,977,4200,Census Tract 42,,30310-1393
87,97,78,51,43,96,96,44,36,,1,Atlanta,121,7/31/01,,,1010,13121004200,13121004200,13121004200,13121004200,,,13446,33.7390423,-84.4181855,,,18569,1038277,1,94,Public Entity,56,717 Lee St SW,ASHLEY TERRACE,Active,1379,,,13,GA,731,,,,34,977,4200,Census Tract 42,,30310-2796
87,97,78,51,43,96,96,44,36,,2,Atlanta,121,1/1/08,,,1010,13121004200,13121004200,13121004200,13121004200,,,13446,33.7390423,-84.4181855,,190,18569,1038589,1,97,Multiple,81,435 Joseph E Lowery Blvd SW,ATRIUM AT COLLEGETOWN,Active,1379,,,13,GA,731,,Eldery or Disabled,,190,977,4200,Census Tract 42,,30310-1471
87,97,78,51,43,96,96,44,36,61,2,Atlanta,121,1/1/06,,,1010,13121004200,13121004200,13121004200,13121004200,,,13446,33.7390423,-84.4181855,177,118,18569,1039008,1,,For Profit,,387 Joseph E Lowery Blvd SW,ASHLEY COLLEGETOWN II,Active,1379,,,13,GA,731,,,35,199,977,4200,Census Tract 42,100,30310
87,97,78,51,43,96,96,44,36,64,2,Atlanta,121,1/1/04,,100,1010,13121004200,13121004200,13121004200,13121004200,,800220904,13446,33.7390423,-84.4181855,,72,18569,1038637,1,,For Profit,,920 Sells Ave SW,THE VERANDA AT COLLEGETOWN,Active,1379,,,13,GA,731,,Elderly,,100,977,4200,Census Tract 42,16,30310-1383
87,97,78,51,43,96,96,44,36,36,2,Atlanta,121,1/1/96,,,1010,13121004200,13121004200,13121004200,13121004200,,,13446,33.7390423,-84.4181855,29,0,18569,1038443,1,,For Profit,,835 Oglethorpe Ave SW,OGELTHORPE PLACE APARTMENTS,Active,1379,,,13,GA,731,,,0,144,977,4200,Census Tract 42,108,30310-2783
87,97,78,51,43,96,96,44,36,99,2,Atlanta,121,2/1/10,,,1010,13121004200,13121004200,13121004200,13121004200,,800005012,13446,33.7390423,-84.4181855,,,18569,1037932,1,96,Profit Motivated,92,1059 Oglethorpe Ave SW,ABERNATHY TOWER,Active,1379,,99,13,GA,731,,Elderly,0,101,977,4200,Census Tract 42,1,30310-2651
87,97,78,51,43,96,96,44,36,11,4,Atlanta,121,3/1/14,,36,1010,13121004200,13121004200,13121004200,13121004200,,800004686,13446,33.7390423,-84.4181855,,,18569,1002226,1,,Non-Profit,,684 Lawton St SW,COMMUNITY FRIENDSHIP APARTMENTS,Active,1379,,10,13,GA,731,,Disabled,0,36,977,4200,Census Tract 42,7,30310-2600
87,97,59,53,40,95,92,24,43,,1,Atlanta,121,1/1/04,,261,990,13121004300,13121004300,13121004300,13121004300,,,17852,33.7453619,-84.4091076,,,28287,1038584,1,,,,370 Northside Dr NW,NORTHSIDE VILLAGE APARTMENTS,Active,539,,,13,GA,145,,,,261,426,4300,Census Tract 43,,30318-7038
87,97,59,53,40,95,92,24,43,,1,Atlanta,121,9/30/00,,,990,13121004300,13121004300,13121004300,13121004300,,,17852,33.7453619,-84.4091076,,,28287,1038275,1,96,Public Entity,59,565 Greensferry Ave SW,VILLAGE AT CASTLEBERRY HILL PHASE II,Active,539,,,13,GA,145,,,,114,426,4300,Census Tract 43,,30314-4346
87,97,59,53,40,95,92,24,43,90,3,Atlanta,121,1/1/99,166,284,990,13121004300,13121004300,13121004300,13121004300,,800210989,17852,33.7453619,-84.4091076,,171,28287,1038272,1,,Multiple,,600 Greensferry Ave SW,THE VILLAGES OF CASTLEBERRY HI,Active,539,,,13,GA,145,,Family,44,284,426,4300,Census Tract 43,150,30314-4339
83,96,62,57,47,99,89,22,31,,2,Atlanta,121,6/2/16,,,1290,13121004400,13121004400,13121004400,13121004400,3,,17432,33.7407585,-84.401777,,,18030,1039218,1,,,,416 Rawson St SW,,Active,1183,,,13,GA,900,,,,5,940,4400,Census Tract 44,,30312
83,96,62,57,47,99,89,22,31,,1,Atlanta,121,12/31/08,,,1290,13121004400,13121004400,13121004400,13121004400,,,17432,33.7407585,-84.401777,,,18030,1039098,1,86,Public Entity,46,540 Humphries St SW,MECHANICSVILLESTATION/MECH-4-MCDANGLENV,Active,1183,,,13,GA,900,,,,63,940,4400,Census Tract 44,,30312
83,96,62,57,47,99,89,22,31,,2,Atlanta,121,1/1/11,,,1290,13121004400,13121004400,13121004400,13121004400,,,17432,33.7407585,-84.401777,,156,18030,1039104,1,100,Multiple,57,565 McDaniel St SW,MECHANICSVILLE PHASE VI,Active,1183,,,13,GA,900,,,,156,940,4400,Census Tract 44,,30312
83,96,62,57,47,99,89,22,31,,2,Atlanta,121,1/1/09,,,1290,13121004400,13121004400,13121004400,13121004400,,,17432,33.7407585,-84.401777,,164,18030,1038600,1,93,Multiple,52,565 Wells St SW,MECHANICSVILLE APARTMENTS PHASE III,Active,1183,,,13,GA,900,,,,164,940,4400,Census Tract 44,,30312-2443
83,96,62,57,47,99,89,22,31,18,2,Atlanta,121,1/1/08,,,1290,13121004400,13121004400,13121004400,13121004400,,,17432,33.7407585,-84.401777,98,0,18030,1038597,1,,For Profit,,520 Fulton St SW,COLUMBIA MECHANICSVILLE PHASE 4,Active,1183,,,13,GA,900,,,45,164,940,4400,Census Tract 44,101,30312-2467
83,96,62,57,47,99,89,22,31,153,4,Atlanta,121,1/1/07,,155,1290,13121004400,13121004400,13121004400,13121004400,150,800232917,17432,33.7407585,-84.401777,,150,18030,1038061,1,96,Multiple,83,555 McDaniel St SW,COLUMBIA SENIOR RESIDENCES AT,Active,1183,,,13,GA,900,,Eldery or Disabled,,155,940,4400,Census Tract 44,2,30312-4457
83,96,62,57,47,99,89,22,31,23,3,Atlanta,121,1/1/07,,174,1290,13121004400,13121004400,13121004400,13121004400,,800232918,17432,33.7407585,-84.401777,,126,18030,1038059,1,92,Multiple,51,500 McDaniel St SW,COLUMBIA AT MECHANICSVILLE,Active,1183,,,13,GA,900,,,53,174,940,4400,Census Tract 44,98,30312-2492
83,96,62,57,47,99,89,22,31,,1,Atlanta,121,1/1/04,,,1290,13121004400,13121004400,13121004400,13121004400,,,17432,33.7407585,-84.401777,,201,18030,1038594,1,,For Profit,,490 Glenn St SW,TOBY SEXTON REDEVLOPMENT,Active,1183,,,13,GA,900,,,,201,940,4400,Census Tract 44,,30312-2459
83,96,70,66,52,95,94,51,37,,1,Atlanta,121,8/9/06,,,1290,13121004800,13121004800,13121004800,13121004800,,,14906,33.7443311,-84.3839375,,,16413,1039096,1,92,Public Entity,53,358 Fraser St SE,CAPITOL II (PHASE IV),Active,636,,,13,GA,440,,,,49,442,4800,Census Tract 48,,30312
83,96,70,66,52,95,94,51,37,,1,Atlanta,121,7/31/07,,,1290,13121004800,13121004800,13121004800,13121004800,,,14906,33.7443311,-84.3839375,,,16413,1038285,1,93,Public Entity,55,175 Memorial Dr SE,CAPITOL I (PHASE III),Active,636,,,13,GA,440,,,,89,442,4800,Census Tract 48,,30312-2062
83,96,70,66,52,95,94,51,37,122,1,Atlanta,121,1/1/07,,,1290,13121004800,13121004800,13121004800,13121004800,,,14906,33.7443311,-84.3839375,,96,16413,1038532,1,,For Profit,,125 Logan St SE,COLUMBIA SENIOR RESIDENCES AT MARTIN LUTHER KING VILLAGE,Active,636,,,13,GA,440,,,,122,442,4800,Census Tract 48,,30312-2000
83,96,70,66,52,95,94,51,37,90,2,Atlanta,121,1/1/07,,152,1290,13121004800,13121004800,13121004800,13121004800,,800224193,14906,33.7443311,-84.3839375,,91,16413,1038588,1,,For Profit,,43 Woodward Ave SE,CAPITOL GATEWAY PHASE II,Active,636,,,13,GA,440,,Family,18,152,442,4800,Census Tract 48,44,30312-2068
83,96,70,66,52,95,94,51,37,96,5,Atlanta,121,1/1/07,,122,1290,13121004800,13121004800,13121004800,13121004800,96,800222280,14906,33.7443311,-84.3839375,0,0,16413,1038069,1,,For Profit,,380 Martin St SE,COLUMBIA SENIOR RESIDENCE,Active,636,,,13,GA,440,,Elderly,0,122,442,4800,Census Tract 48,0,30312-3909
94,99,70,67,19,52,92,34,89,0,1,Atlanta,121,6/1/79,,,1290,13121004900,13121004900,13121004900,13121004900,,,17688,33.7409122,-84.3794478,,,77875,1038269,1,100,Public Entity,53,600 Martin St SE,MARTIN STREET PLAZA,Active,293,,,13,GA,180,,,,59,266,4900,Census Tract 49,,30312-2920
94,99,70,67,19,52,92,34,89,,1,Atlanta,121,9/30/78,,,1290,13121004900,13121004900,13121004900,13121004900,,,17688,33.7409122,-84.3794478,,,77875,1038257,1,99,Public Entity,92,174 Georgia Ave SE,GEORGIA AVENUE HIGHRISE,Active,293,,,13,GA,180,,Eldery or Disabled,,79,266,4900,Census Tract 49,,30312-3030
97,100,85,97,12,38,98,3,-1,0,1,Atlanta,121,12/1/09,,188,1120,13121005200,13121005200,13121005200,13121005200,,800004780,10088,33.7355106,-84.3544774,,,93580,1038010,1,98,Profit Motivated,86,904 Confederate Ct SE,TRESTLETREE VILLAGE,Active,348,,188,13,GA,116,,Family,0,188,277,5200,Census Tract 52,188,30312-3787
97,100,85,97,12,38,98,3,-1,0,2,Atlanta,121,10/1/12,,,1120,13121005200,13121005200,13121005200,13121005200,,800004780,10088,33.7355106,-84.3544774,,,93580,1039555,1,,Profit Motivated,,970 Confederate Ave SE,TRESTLETREE VILLAGE,Active,348,,188,13,GA,116,,Family,0,188,277,5200,Census Tract 52,188,30312
82,94,67,90,41,87,94,17,46,0,4,Atlanta,121,1/1/03,,99,980,13121005501,13121005501,13121005501,13121005501,69,800223540,15568,33.729867,-84.3837371,69,0,30469,1038554,1,,Multiple,,222 Tuskegee St SE,COLUMBIA AT PEOPLESTOWN,Active,606,,,13,GA,228,,,18,99,424,5501,Census Tract 55.01,81,30315-1951
82,94,67,90,41,87,94,17,46,4,1,Atlanta,121,4/1/78,,,980,13121005501,13121005501,13121005501,13121005501,,800004662,15568,33.729867,-84.3837371,,,30469,1037955,1,88,Profit Motivated,81,942 Hank Aaron Dr SE,CAPITOL VANIRA APARTMENTS,Active,606,,60,13,GA,228,,Family,30,60,424,5501,Census Tract 55.01,26,30315-1745
82,94,67,90,41,87,94,17,46,5,2,Atlanta,121,4/1/78,,,980,13121005501,13121005501,13121005501,13121005501,,800004633,15568,33.729867,-84.3837371,,,30469,1106189,1,98,Profit Motivated,93,1044 Hank Aaron Dr SE,BOYNTON VILLAGE APARTMENTS,Active,606,,43,13,GA,228,,Family,27,43,424,5501,Census Tract 55.01,11,30315-1736
91,98,60,73,41,97,93,15,30,82,4,Atlanta,121,1/1/06,,90,980,13121005502,13121005502,13121005502,13121005502,,800222218,17857,33.7162175,-84.3867651,,,19469,1038044,1,,Multiple,,217 Thirkield Ave SW,VERANDA AT CARVER,Active,965,,,13,GA,486,,Elderly,0,90,689,5502,Census Tract 55.02,8,30315-3514
91,98,60,73,41,97,93,15,30,0,5,Atlanta,121,11/30/01,,216,980,13121005502,13121005502,13121005502,13121005502,,800240365,17857,33.7162175,-84.3867651,,0,19469,1038278,1,,Multiple,,174 Moury Ave SW,VILLAGE AT CARVER APARTMENTS P,Active,965,,,13,GA,486,,Family,0,216,689,5502,Census Tract 55.02,0,30315-3422
91,98,60,73,41,97,93,15,30,48,3,Atlanta,121,1/1/01,,220,980,13121005502,13121005502,13121005502,13121005502,,,17857,33.7162175,-84.3867651,0,154,19469,1038563,1,,For Profit,,201 Moury Ave SW,VILLAGES AT CARVER PHASE I,Active,965,,,13,GA,486,,,64,220,689,5502,Census Tract 55.02,108,30315-3400
78,93,73,58,36,98,95,12,16,,1,Atlanta,121,7/11/13,,,1010,13121005700,13121005700,13121005700,13121005700,1,,14782,33.7319561,-84.403266,,,19698,1039234,1,,,,886 McDaniel St SW,PCIA - 886 MCDANIEL STREET SW,Active,571,,,13,GA,336,,,,1,480,5700,Census Tract 57,,30310
78,93,73,58,36,98,95,12,16,,1,Atlanta,121,4/21/17,,,1010,13121005700,13121005700,13121005700,13121005700,1,,14782,33.7319561,-84.403266,,,19698,1127389,1,,,,803 Humphries St SW,,Active,571,,,13,GA,336,,,,1,480,5700,Census Tract 57,,30310-2129
78,93,73,58,36,98,95,12,16,,1,Atlanta,121,4/21/17,,,1010,13121005700,13121005700,13121005700,13121005700,1,,14782,33.7319561,-84.403266,,,19698,1127391,1,,,,902 McDaniel St SW,,Active,571,,,13,GA,336,,,,1,480,5700,Census Tract 57,,30310-3018
78,93,73,58,36,98,95,12,16,90,3,Atlanta,121,1/1/06,,,1010,13121005700,13121005700,13121005700,13121005700,,,14782,33.7319561,-84.403266,120,120,19698,1038604,1,,For Profit,,765 McDaniel St SW,PITTSBURGH PHASE I LP,Active,571,,,13,GA,336,,,0,220,480,5700,Census Tract 57,60,30310-5300
78,93,54,96,35,92,81,22,67,21,1,Atlanta,121,1/1/01,,,1010,13121005800,13121005800,13121005800,13121005800,,,19636,33.731861,-84.4105985,,100,31625,1038602,1,,For Profit,,707 Lee St SW,ASHLEY WEST END,Active,280,,,13,GA,36,,,17,100,205,5800,Census Tract 58,30,30310
78,93,63,82,32,97,89,32,60,21,1,Atlanta,121,1/1/05,,,1010,13121006000,13121006000,13121006000,13121006000,,,16800,33.7379429,-84.439035,,16,35549,1038538,1,,For Profit,,1528 Ralph David Abernathy Blvd SW,WESTVIEW LOFTS,Active,671,,,13,GA,245,,,,21,593,6000,Census Tract 60,,30310-1268
78,93,64,69,33,97,95,25,63,,1,Atlanta,121,7/11/13,,,1010,13121006300,13121006300,13121006300,13121006300,1,,17267,33.7237613,-84.3997049,,,24893,1039194,1,,,,1106 Ira St SW,PCIA - 1106 IRA STREET SW,Active,336,,,13,GA,116,,,,1,237,6300,Census Tract 63,,30310
78,93,64,69,33,97,95,25,63,,1,Atlanta,121,8/2/16,,,1010,13121006300,13121006300,13121006300,13121006300,1,,17267,33.7237613,-84.3997049,,,24893,1127383,1,,,,1169 McDaniel St SW,,Active,336,,,13,GA,116,,,,1,237,6300,Census Tract 63,,30310-3655
78,93,64,69,33,97,95,25,63,,1,Atlanta,121,3/5/15,,,1010,13121006300,13121006300,13121006300,13121006300,1,,17267,33.7237613,-84.3997049,,,24893,1127382,1,,,,1154 Sims St SW,,Active,336,,,13,GA,116,,,,1,237,6300,Census Tract 63,,30310-3503
78,93,64,69,33,97,95,25,63,,1,Atlanta,121,3/22/17,,,1010,13121006300,13121006300,13121006300,13121006300,1,,17267,33.7237613,-84.3997049,,,24893,1127381,1,,,,1006 Hubbard St SW,,Active,336,,,13,GA,116,,,,1,237,6300,Census Tract 63,,30310-3136
78,93,64,69,33,97,95,25,63,,1,Atlanta,121,6/27/16,,,1010,13121006300,13121006300,13121006300,13121006300,1,,17267,33.7237613,-84.3997049,,,24893,1127380,1,,,,1000 Hubbard St SW,,Active,336,,,13,GA,116,,,,1,237,6300,Census Tract 63,,30310-3136
80,94,67,83,21,95,83,18,-1,102,1,Atlanta,121,1/1/95,,,980,13121006400,13121006400,13121006400,13121006400,,,19827,33.7188154,-84.3735791,,291,43690,1038298,1,,Multiple,,548 Burroughs St SE,GRANT PARK APARTMENTS,Active,193,,,13,GA,16,,,164,302,163,6400,Census Tract 64,36,30315-3032
79,93,58,93,29,88,92,33,72,,1,Atlanta,121,4/25/12,,,1010,13121006500,13121006500,13121006500,13121006500,1,,18920,33.7141002,-84.410126,,,39274,1039198,1,,,,1401 Belmont Ave SW,CAMP CDC,Active,645,,,13,GA,201,,,,1,442,6500,Census Tract 65,,30310
78,93,71,68,34,85,95,65,40,0,1,Atlanta,121,11/14/17,,,1010,13121006601,13121006601,13121006601,13121006601,33,,13639,33.7115423,-84.4224014,,0,36250,1127385,1,,,,1374 Murphy Ave SW,GATEWAY CAPITOL VIEW,Active,351,,,13,GA,377,,,0,162,243,6601,Census Tract 66.01,0,30310-4003
78,93,71,68,34,85,95,65,40,0,2,Atlanta,121,5/5/00,,,1010,13121006601,13121006601,13121006601,13121006601,21,,13639,33.7115423,-84.4224014,,0,36250,1013176,1,,,,1296 Murphy Ave SW,PHOENIX HOUSE,Active,351,,,13,GA,377,,,0,69,243,6601,Census Tract 66.01,0,30310-4002
89,99,77,98,53,99,95,12,75,14,2,Atlanta,121,4/1/84,,111,1010,13121006602,13121006602,13121006602,13121006602,,800004886,12077,33.7186105,-84.4286624,,,20170,1038074,1,96,Non-Profit,91,1191 Oakland Ln SW,OAKLAND CITY / WEST END APARTMENTS,Active,395,,111,13,GA,93,,Family,31,111,309,6602,Census Tract 66.02,66,30310-4089
79,94,70,74,36,95,95,32,21,,2,Atlanta,121,11/1/51,,452,980,13121006700,13121006700,13121006700,13121006700,86,,15349,33.7021727,-84.3954527,,,23017,1039200,1,,,,1417 Pryor Rd SW,HERITAGE VILLAGE,Active,916,,,13,GA,742,,,,452,699,6700,Census Tract 67,,30315
79,94,70,74,36,95,95,32,21,0,0,Atlanta,121,1/1/90,,,980,13121006700,13121006700,13121006700,13121006700,,,15349,33.7021727,-84.3954527,,0,23017,1038146,1,,For Profit,,1599 Pryor Rd SW,THORNTON PLACE,Inconclusive,916,,,13,GA,742,,,0,12,699,6700,Census Tract 67,0,30315-3721
79,94,70,74,36,95,95,32,21,0,2,Atlanta,121,1/1/10,,192,980,13121006700,13121006700,13121006700,13121006700,,800227346,15349,33.7021727,-84.3954527,0,192,23017,1038541,1,,For Profit,,1700 Giben Rd SW,AMAL HEIGHTS APARTMENTS,Active,916,,,13,GA,742,,Family,0,192,699,6700,Census Tract 67,0,30315-4814
79,94,70,74,36,95,95,32,21,,3,Atlanta,121,1/1/08,,165,980,13121006700,13121006700,13121006700,13121006700,,800240364,15349,33.7021727,-84.3954527,,165,23017,1038547,1,100,Multiple,54,178 Moury Ave SW,VILLAGES AT CARVER APARTMENTS,Active,916,,,13,GA,742,,Family,,165,699,6700,Census Tract 67,,30315-3446
79,94,70,74,36,95,95,32,21,77,1,Atlanta,121,1/1/07,,,980,13121006700,13121006700,13121006700,13121006700,,,15349,33.7021727,-84.3954527,,77,23017,1038536,1,,For Profit,,14 Meldon Ave SW,COLUMBIA BLACKSHEAR SR,Active,916,,,13,GA,742,,,,77,699,6700,Census Tract 67,,30315-3812
79,94,70,74,36,95,95,32,21,70,1,Atlanta,121,1/1/03,,,980,13121006700,13121006700,13121006700,13121006700,,,15349,33.7021727,-84.3954527,,80,23017,1038833,1,,For Profit,,240 Amal Dr SW,RENAISSANCE AT PARK PLACE SOUTH,Active,916,,,13,GA,742,,,,100,699,6700,Census Tract 67,30,30315-4859
79,94,70,74,36,95,95,32,21,94,2,Atlanta,121,1/1/02,,,980,13121006700,13121006700,13121006700,13121006700,,,15349,33.7021727,-84.3954527,0,0,23017,1038523,1,,For Profit,,220 Bowen Cir SW,COULMBIA HIGH PT EASTATES SR,Active,916,,,13,GA,742,,,0,94,699,6700,Census Tract 67,55,30315-2605
79,94,70,74,36,95,95,32,21,,1,Atlanta,121,1/1/94,,,980,13121006700,13121006700,13121006700,13121006700,,,15349,33.7021727,-84.3954527,,30,23017,1038251,1,,Non-Profit,,60 Love St SW,REED STREET,Active,916,,,13,GA,742,,,,30,699,6700,Census Tract 67,,30315
79,94,70,74,36,95,95,32,21,48,3,Atlanta,121,1/1/14,,,980,13121006700,13121006700,13121006700,13121006700,35,800232093,15349,33.7021727,-84.3954527,,47,23017,1039121,1,100,Profit Motivated,74,345 Ashwood Ave SW,BETMAR VILLAGE,Active,916,,36,13,GA,742,,Elderly,,48,699,6700,Census Tract 67,,30315
93,93,89,97,81,99,99,3,41,,1,Atlanta,121,4/18/05,,,980,13121006802,13121006802,13121006802,13121006802,,800037046,7482,33.7042854,-84.3609663,,,9815,1037917,1,94,Profit Motivated,90,900 New Town Cir SE,FOREST COVE APARTMENTS,Active,557,,396,13,GA,421,,Family,288,396,298,6802,Census Tract 68.02,108,30315-5441
79,94,64,97,19,67,86,13,75,,1,Atlanta,121,1/1/96,,,1106,13121006900,13121006900,13121006900,13121006900,,,19898,33.7183138,-84.3587699,,338,71359,1038555,1,,For Profit,,1940 Fisher Rd SE,GRANT PARK COMMONS,Active,310,,,13,GA,49,,,14,338,283,6900,Census Tract 69,331,30315-4532
78,93,60,94,32,96,92,29,76,,1,Atlanta,121,1/1/99,,,980,13121007001,13121007001,13121007001,13121007001,,,18718,33.6915165,-84.3868055,,,26436,1108287,1,,,,2637 Old Hapeville Rd SW,COLONIAL SQUARE,Active,857,,,13,GA,297,,,,192,665,7001,Census Tract 70.01,,30315
78,93,61,90,37,95,91,24,79,0,2,Atlanta,121,1/1/03,,,980,13121007002,13121007002,13121007002,13121007002,,,18948,33.6920865,-84.3682107,181,0,34286,1038545,1,,For Profit,,1770 Richmond Cir SE,RICHMOND OAKS,Active,538,,,13,GA,286,,,0,181,481,7002,Census Tract 70.02,0,30315-5373
78,93,53,83,21,99,91,18,62,,2,Atlanta,121,1/1/06,,,980,13121007100,13121007100,13121007100,13121007100,166,,19362,33.6963573,-84.3546554,,166,22500,1038612,1,,For Profit,,960 Constitution Rd SE,CONSTITUTION AVENUE,Active,413,,,13,GA,205,,,,166,324,7100,Census Tract 71,,30315-6836
79,94,58,91,38,99,93,21,64,0,10,Atlanta,121,7/1/82,,,990,13121007200,13121007200,13121007200,13121007200,1,,19549,33.6563757,-84.3609353,,122,24722,1038335,1,,Multiple,,3450 Forrest Park Rd SE,COLUMBIA HILL (DUTCH HILL,Active,472,,,13,GA,181,,,0,122,391,7200,Census Tract 72,0,30354-3439
81,84,69,81,45,99,93,25,62,59,1,Atlanta,121,1/1/09,,,990,13121007300,13121007300,13121007300,13121007300,,,15241,33.672717,-84.3812442,,,24465,1108431,1,,,,500 Cleveland Ave SE,ASHTON BROWNS MILL,Active,1819,,,13,GA,1267,,,0,100,1436,7300,Census Tract 73,41,30354-2273
81,84,69,81,45,99,93,25,62,24,3,Atlanta,121,1/1/08,,222,990,13121007300,13121007300,13121007300,13121007300,,800234584,15241,33.672717,-84.3812442,199,199,24465,1038549,1,,For Profit,,183 Mount Zion Rd SE,AVALON RIDGE,Active,1819,,,13,GA,1267,,Family,76,222,1436,7300,Census Tract 73,122,30354-2119
81,84,69,81,45,99,93,25,62,,1,Atlanta,121,1/1/05,,,990,13121007300,13121007300,13121007300,13121007300,,,15241,33.672717,-84.3812442,,210,24465,1038577,1,,For Profit,,2738 Vineyards Dr SE,VINEYARDS OF BROWNS MILLS,Active,1819,,,13,GA,1267,,,,210,1436,7300,Census Tract 73,,30354-2223
81,84,69,81,45,99,93,25,62,,1,Atlanta,121,1/1/99,,,990,13121007300,13121007300,13121007300,13121007300,,,15241,33.672717,-84.3812442,,,24465,1038591,1,,For Profit,,445 Cleveland Ave SE,EVERGREEN VILLAGE ESTATES,Active,1819,,,13,GA,1267,,,,200,1436,7300,Census Tract 73,,30354-2200
81,84,69,81,45,99,93,25,62,,1,Atlanta,121,1/1/98,,,990,13121007300,13121007300,13121007300,13121007300,,,15241,33.672717,-84.3812442,,74,24465,1038437,1,,For Profit,,2745 Hapeville Rd SW,SUMMERDALE COMMONS,Active,1819,,,13,GA,1267,,,,74,1436,7300,Census Tract 73,,30354-2073
81,84,69,81,45,99,93,25,62,16,4,Atlanta,121,9/1/87,,128,990,13121007300,13121007300,13121007300,13121007300,,,15241,33.672717,-84.3812442,0,142,24465,1038595,1,,For Profit,,50 Mount Zion Rd SW,HIGHBURY CO,Active,1819,,,13,GA,1267,,,16,142,1436,7300,Census Tract 73,96,30354-2359
81,84,69,81,45,99,93,25,62,,1,Atlanta,121,1/1/97,,,990,13121007300,13121007300,13121007300,13121007300,,,15241,33.672717,-84.3812442,,100,24465,1038403,1,,Multiple,,2786 Hapeville Rd SW,SUMMERDALE/ BRIARWOOD,Active,1819,,,13,GA,1267,,,10,100,1436,7300,Census Tract 73,90,30354-2068
